Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
as-burner-nozzle-kit,Asphalt Burner Nozzle Service Kit,"<p>OEM-grade burner nozzle service kit for asphalt mixing plants. Includes nozzle tip, seal ring, and maintenance gasket pack for rapid workshop replacement.</p>",Spares Automation,,Burner Systems,"collection:asphalt, collection:new-arrivals, asphalt, burner, nozzle, oem-grade",TRUE,Size,Standard,AS-BURN-001,750,shopify,34,deny,manual,146.00,189.00,TRUE,TRUE,https://placehold.co/1200x1200/png?text=Asphalt+Burner+Nozzle,1,Asphalt burner nozzle service kit,FALSE,Asphalt Burner Nozzle Service Kit,OEM-grade asphalt burner nozzle service kit for plant maintenance.,active
as-conveyor-belt-scraper,Heavy Duty Conveyor Belt Scraper,"<p>Primary belt scraper for aggregate feed conveyors. Designed for asphalt plant environments with high dust, heat, and abrasive material loads.</p>",Spares Automation,,Feeders & Conveyors,"collection:asphalt, asphalt, conveyor, belt, scraper, aggregate",TRUE,Width,800 mm,AS-CONV-800,4200,shopify,18,deny,manual,214.00,249.00,TRUE,TRUE,https://placehold.co/1200x1200/png?text=Conveyor+Belt+Scraper,1,Heavy duty conveyor belt scraper,FALSE,Heavy Duty Conveyor Belt Scraper,Conveyor belt scraper for asphalt and aggregate feed systems.,active
as-drum-mixer-liner-set,Drum Mixer Wear Liner Set,"<p>Replaceable wear liner set for asphalt drum mixers. High abrasion resistance for continuous blacktop production environments.</p>",Spares Automation,,Drum Mixers,"collection:asphalt, asphalt, drum mixer, liner, wear parts",TRUE,Set,12 Piece,AS-DRUM-012,18500,shopify,8,deny,manual,780.00,925.00,TRUE,TRUE,https://placehold.co/1200x1200/png?text=Drum+Mixer+Liners,1,Drum mixer wear liner set,FALSE,Drum Mixer Wear Liner Set,Wear liner set for asphalt drum mixer maintenance.,active
cn-load-cell-20t,Concrete Plant Load Cell 20T,"<p>Precision 20 tonne load cell for concrete batching plant weighing systems. Suitable for aggregate bins, cement hoppers, and batching scales.</p>",Spares Automation,,Weighing Systems,"collection:concrete, concrete, load cell, weighing, batching",TRUE,Capacity,20T,CN-LC-20T,1300,shopify,22,deny,manual,168.00,210.00,TRUE,TRUE,https://placehold.co/1200x1200/png?text=20T+Load+Cell,1,Concrete plant 20 tonne load cell,FALSE,Concrete Plant Load Cell 20T,Precision load cell for concrete batching plant weighing systems.,active
cn-butterfly-valve-300,DN300 Pneumatic Butterfly Valve,"<p>Pneumatic butterfly valve for cement silo and batching plant discharge control. Supplied with actuator mounting interface.</p>",Spares Automation,,Pneumatic Valves,"collection:concrete, collection:new-arrivals, concrete, valve, pneumatic, silo",TRUE,Diameter,DN300,CN-BV-DN300,7400,shopify,11,deny,manual,322.00,390.00,TRUE,TRUE,https://placehold.co/1200x1200/png?text=DN300+Butterfly+Valve,1,DN300 pneumatic butterfly valve,FALSE,DN300 Pneumatic Butterfly Valve,Pneumatic butterfly valve for concrete batching plants.,active
cn-mixer-paddle-arm,Twin Shaft Mixer Paddle Arm,"<p>Heavy duty paddle arm for twin shaft concrete mixers. Cast construction for high-torque mixing cycles and abrasive aggregate blends.</p>",Spares Automation,,Twin-Shaft Mixers,"collection:concrete, concrete, mixer, paddle, wear parts",TRUE,Side,Left Hand,CN-MIX-LH,9800,shopify,9,deny,manual,245.00,295.00,TRUE,TRUE,https://placehold.co/1200x1200/png?text=Mixer+Paddle+Arm,1,Twin shaft mixer paddle arm,FALSE,Twin Shaft Mixer Paddle Arm,Replacement paddle arm for twin shaft concrete mixers.,active
pk-heat-sealer-element,Industrial Heat Sealer Element,"<p>Replacement heating element for industrial packing and bag sealing machines. Designed for consistent seal temperature and rapid changeover.</p>",Spares Automation,,Sealers,"collection:packing, packing, sealer, heating element, bagging",TRUE,Length,450 mm,PK-SEAL-450,260,shopify,52,deny,manual,42.00,58.00,TRUE,TRUE,https://placehold.co/1200x1200/png?text=Heat+Sealer+Element,1,Industrial heat sealer element,FALSE,Industrial Heat Sealer Element,Heating element for industrial packing and bag sealing machines.,active
pk-conveyor-roller-60,Stainless Conveyor Roller 60mm,"<p>Stainless conveyor roller for packing lines, transfer conveyors, and bag handling systems. Sealed bearings for dusty industrial environments.</p>",Spares Automation,,Rollers,"collection:packing, packing, conveyor, roller, bearing",TRUE,Diameter,60 mm,PK-ROLL-60,1150,shopify,40,deny,manual,38.00,49.00,TRUE,TRUE,https://placehold.co/1200x1200/png?text=Conveyor+Roller,1,Stainless conveyor roller 60mm,FALSE,Stainless Conveyor Roller 60mm,Conveyor roller for packing and bag handling lines.,active
pk-timing-belt-htd,HTD Timing Belt for Bagging Line,"<p>HTD timing belt for synchronized packing line drives. Suitable for bagging machines, transfer sections, and dosing equipment.</p>",Spares Automation,,Drive Belts,"collection:packing, collection:new-arrivals, packing, timing belt, drive",TRUE,Pitch,8M,PK-BELT-8M,420,shopify,26,deny,manual,64.00,78.00,TRUE,TRUE,https://placehold.co/1200x1200/png?text=HTD+Timing+Belt,1,HTD timing belt for bagging line,FALSE,HTD Timing Belt for Bagging Line,Timing belt for synchronized industrial packing line drives.,active
au-vfd-4kw-ip20,4kW Variable Frequency Drive IP20,"<p>Compact 4kW VFD for industrial motor control. Ideal for conveyors, mixers, dosing screws, pumps, and packing line motors.</p>",Spares Automation,,VFDs,"collection:automation, collection:new-arrivals, automation, vfd, drive, motor control",TRUE,Power,4 kW,AU-VFD-4KW,2100,shopify,16,deny,manual,275.00,330.00,TRUE,TRUE,https://placehold.co/1200x1200/png?text=4kW+VFD,1,4kW variable frequency drive,FALSE,4kW Variable Frequency Drive IP20,Compact VFD for industrial motor control applications.,active
